id;Nr_Planu_Produkcji;Nr_Zlecenia_Produkcyjnego;BrakLutowia;BrakKomponentu;ZabrudzonaDioda;UszkodzonaDioda;UszkodzonePCB;PrzesuniecieDiody;ZanieczyszczenieZpieca;Inne
316;1204922;1205757;0;0;0;0;0;0;0;0
383;1205771;1205842;0;0;0;0;0;0;0;0
355;1205771;1205814;0;0;0;1;0;0;0;0
285;1204922;1205010;0;0;0;2;0;0;0;0
389;1205771;1205848;0;0;0;0;0;0;0;0
425;1205771;1206750;0;0;3;0;0;0;0;0
380;1205771;1205839;0;0;0;0;0;0;0;0
394;1205771;1205853;0;0;0;0;0;0;0;0
391;1205771;1205850;0;0;1;1;0;0;0;0
127;201709111;1204781;0;0;3;0;0;0;0;0
442;1205771;1206776;0;0;1;0;0;0;0;0
443;1205771;1206777;0;0;0;0;0;0;0;0
444;1205771;1206778;0;0;0;0;0;0;0;0
402;1205771;1205861;0;0;0;4;0;0;0;0
446;1205771;1206780;0;0;1;0;0;0;0;0
400;1205771;1205859;0;1;0;0;0;0;0;0
422;1205771;1206747;0;0;0;1;0;0;0;0
423;1205771;1206748;0;0;0;0;0;0;0;0
483;1206762;1206830;0;0;0;0;0;0;0;0
436;1205771;1206768;0;0;0;0;0;0;0;0
481;1206762;1206828;0;0;0;0;0;0;0;0
435;1205771;1206763;0;0;0;0;0;0;0;0
429;1205771;1206754;0;0;0;0;0;0;0;0
434;1205771;1206761;0;0;0;0;0;0;0;0
490;1206762;1206838;0;0;0;0;0;0;0;0
433;1205771;1206759;0;0;0;0;0;1;1;1
508;1206762;1206856;0;0;0;0;0;1;1;1
500;1206762;1206848;0;0;0;0;0;1;1;1
403;1205771;1205862;0;0;0;0;0;1;1;1
448;1206762;1206782;0;0;0;0;0;1;1;1
451;1206762;1206785;0;0;0;0;0;0;0;0
427;1205771;1206752;0;0;0;0;0;0;0;0
445;1205771;1206779;0;0;0;0;0;0;0;0
486;1206762;1206834;0;0;0;0;0;0;0;1
519;1206762;1206867;0;0;0;0;0;0;0;0
523;1206762;1206871;0;0;0;0;0;1;1;1
506;1206762;1206854;0;0;0;1;0;0;0;0
511;1206762;1206859;0;0;0;0;0;0;0;0
525;1206762;1206873;0;0;0;0;0;0;0;0
493;1206762;1206842;0;0;0;0;0;0;0;0
498;1206762;1206846;0;0;0;0;0;0;0;0
447;1205771;1206781;0;0;1;0;0;0;0;0
478;1206762;1206824;1;0;1;0;0;0;0;0
497;1206762;1206845;0;0;0;0;0;0;0;0
521;1206762;1206869;0;0;0;0;0;1;0;0
495;1206762;1206843;0;0;1;1;0;0;0;0
535;1206762;1206883;0;0;0;0;0;0;0;0
532;1206762;1206880;0;0;2;0;0;0;0;0
520;1206762;1206868;0;0;3;0;0;0;0;0
536;1206762;1206884;0;0;3;0;0;0;0;0
398;1205771;1205857;0;0;0;0;0;0;0;0
545;1206762;1206893;0;0;0;0;0;0;0;0
542;1206762;1206890;0;0;0;0;0;0;0;0
491;1205766;1206839;0;0;2;0;0;0;0;0
515;1206762;1206863;0;0;0;0;0;0;0;0
577;1205766;1206925;0;0;1;0;0;0;0;0
501;1205766;1206849;0;0;3;0;1;0;0;0
494;1205766;1206841;0;0;0;0;0;0;0;0
485;1205766;1206833;0;0;0;0;0;0;0;0
304;1204960;1205744;0;0;0;0;0;1;0;1
327;1205766;1205786;0;0;0;0;0;1;1;1
315;1204960;1205756;0;0;0;0;0;0;0;0
322;1204960;1205763;0;0;0;0;0;0;0;0
358;1205766;1205820;0;0;0;0;0;0;0;0
348;1205766;1205815;0;0;0;0;0;0;0;0
310;1204960;1205751;0;0;0;1;0;0;0;0
319;1204960;1205760;0;0;0;0;0;0;0;0
307;1204922;1205747;0;0;1;0;0;0;0;0
551;1206762;1206899;0;0;0;0;0;0;0;0
561;1206762;1206909;0;0;0;0;0;0;0;0
557;1206762;1206906;0;0;0;0;0;0;0;0
161;201709111;1204848;0;0;2;0;0;0;0;0
271;1204922;1204996;0;0;2;1;0;0;0;0
296;1204922;1205021;0;0;0;0;0;0;0;0
375;1205771;1205834;0;0;0;0;0;0;0;0
479;1206762;1206826;0;0;0;0;0;0;0;0
428;1205771;1206753;0;0;0;0;1;0;0;0
418;1205771;1206743;0;0;5;0;0;0;0;1
426;1205771;1206751;0;0;1;0;0;0;0;0
431;1205771;1206756;0;0;0;0;0;0;0;1
421;1205771;1206746;0;0;2;0;0;0;0;1
420;1205771;1206745;0;0;0;0;0;1;1;1
430;1205771;1206755;0;0;0;1;0;0;0;1
432;1205771;1206757;0;0;0;0;0;1;1;1
449;1206762;1206783;0;0;0;0;0;1;1;1
419;1205771;1206744;0;0;0;0;0;1;1;1
492;1206762;1206840;1;0;1;0;0;1;1;1
510;1206762;1206858;0;0;0;0;0;0;0;0
513;1206762;1206861;0;0;0;0;0;0;0;0
512;1206762;1206860;0;0;0;0;0;0;0;0
502;1206762;1206850;0;0;0;0;0;0;0;0
528;1206762;1206876;0;0;0;0;0;0;0;0
372;1205771;1205831;0;0;0;0;0;0;0;0
424;1205771;1206749;0;0;0;0;0;0;0;0
438;1205771;1206771;0;0;0;0;0;0;0;0
386;1205771;1205845;0;0;0;0;0;0;0;0
531;1206762;1206879;0;0;0;0;0;0;0;0
583;1205766;1206931;0;0;1;0;0;0;0;0
324;1205766;1205777;0;0;1;0;0;0;0;0
405;1205766;1205864;0;0;0;0;0;0;0;0
499;1205766;1206847;0;0;1;0;0;0;0;0
328;1205771;1205787;0;0;3;0;0;0;0;0
382;1205771;1205841;0;0;0;0;0;0;0;0
439;1205771;1206772;0;0;1;0;0;0;0;0
562;1206762;1206910;0;0;0;0;0;0;0;0
560;1206762;1206908;0;0;0;0;0;0;0;0
559;1206762;1206907;0;0;0;0;0;0;0;0
555;1206762;1206903;0;0;0;0;0;0;0;0
554;1206762;1206902;0;0;0;0;0;0;0;0
